trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.975, 'e': 0.975}",25,0,-170.8837150764136,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
2,False,"{'a': 0.975, 'e': 0.9506249999999999}",20,0,-44.477053443147305,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.975, 'e': 0.9268593749999999}",25,0,-74.9160382318705,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.975, 'e': 0.9036878906249999}",20,0,-177.38120996558868,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.975, 'e': 0.8810956933593749}",25,0,-136.99437650993505,"{0: 11, 1: 6, 2: 4, 3: 4, 4: 0}",0
6,False,"{'a': 0.975, 'e': 0.8590683010253904}",30,0,-161.7780067177041,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.975, 'e': 0.8375915934997556}",30,0,-103.35900436221016,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.975, 'e': 0.8166518036622618}",25,0,-76.60382117987815,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.975, 'e': 0.7962355085707052}",30,0,-56.74249427807427,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.975, 'e': 0.7763296208564376}",25,0,-55.70880517116093,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.975, 'e': 0.7569213803350267}",20,8,-19.240583950053082,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.975, 'e': 0.7379983458266509}",30,0,-71.48896257334056,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.975, 'e': 0.7195483871809846}",20,0,-66.79804187355585,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.975, 'e': 0.70155967750146}",25,0,-112.64030412037597,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.975, 'e': 0.6840206855639235}",30,0,-128.45979775503386,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.975, 'e': 0.6669201684248254}",30,0,-99.13599737126813,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.975, 'e': 0.6502471642142047}",30,10,-137.3799812913373,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",1
18,False,"{'a': 0.975, 'e': 0.6339909851088495}",30,0,-80.93314359632717,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.975, 'e': 0.6181412104811282}",20,5,-33.64027699450974,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.975, 'e': 0.6026876802191}",20,5,-47.85016616016589,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.975, 'e': 0.5876204882136226}",30,3,-43.607561128938194,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",1
22,False,"{'a': 0.975, 'e': 0.572929976008282}",20,0,-64.10593487573978,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.975, 'e': 0.558606726608075}",20,0,-80.13278870037018,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.975, 'e': 0.5446415584428731}",30,8,-126.55532558346118,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 3}",1
25,False,"{'a': 0.975, 'e': 0.5310255194818012}",20,11,-16.55234837507891,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.975, 'e': 0.5177498814947562}",20,0,-115.7038510358632,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.975, 'e': 0.5048061344573873}",25,14,-15.256090628446678,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.975, 'e': 0.49218598109595263}",25,8,-32.962363937197985,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
29,False,"{'a': 0.975, 'e': 0.4798813315685538}",30,0,-142.068648384097,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.975, 'e': 0.4678842982793399}",25,11,-41.24764012627386,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.975, 'e': 0.4561871908223564}",20,0,-14.616986914608521,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.975, 'e': 0.4447825110517975}",20,5,-39.19725911728695,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.975, 'e': 0.43366294827550256}",25,0,-116.90300832444152,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.975, 'e': 0.42282137456861496}",30,17,6.186751443294797,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.975, 'e': 0.41225084020439956}",25,0,-40.372087755791505,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.975, 'e': 0.40194456919928956}",20,0,16.90623274286228,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.975, 'e': 0.3918959549693073}",35,0,-113.44995272504097,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.975, 'e': 0.3820985560950746}",25,15,-29.007342476132322,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.975, 'e': 0.37254609219269774}",25,7,-69.40741558237356,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.975, 'e': 0.3632324398878803}",20,6,10.684170937916686,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.975, 'e': 0.35415162889068325}",20,0,6.679588514010427,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
42,False,"{'a': 0.975, 'e': 0.34529783816841614}",25,16,-12.791919913453157,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.975, 'e': 0.3366653922142057}",20,9,-3.866600736206669,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.975, 'e': 0.32824875740885057}",25,0,-52.64702154964745,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
45,False,"{'a': 0.975, 'e': 0.3200425384736293}",25,15,20.04386787883819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.975, 'e': 0.3120414750117885}",20,15,-12.06883007509353,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.975, 'e': 0.3042404381364938}",20,0,-46.48543760294168,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.975, 'e': 0.2966344271830815}",30,18,-88.27682585859242,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
49,False,"{'a': 0.975, 'e': 0.2892185665035044}",25,12,-25.33605308038383,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
50,False,"{'a': 0.975, 'e': 0.2819881023409168}",30,9,34.25494394705791,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.975, 'e': 0.27493839978239387}",25,2,13.645925528567622,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.975, 'e': 0.268064939787834}",20,12,1.2771808080230116,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.975, 'e': 0.2613633162931382}",20,13,14.147388013566207,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.975, 'e': 0.2548292333858097}",20,7,-84.73476708828308,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
55,False,"{'a': 0.975, 'e': 0.24845850255116445}",25,14,6.450626748352125,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.975, 'e': 0.24224703998738534}",35,12,34.03149418225667,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.975, 'e': 0.2361908639877007}",30,0,-144.10137192509882,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 4}",0
58,False,"{'a': 0.975, 'e': 0.23028609238800818}",20,3,-39.22642009799816,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.975, 'e': 0.22452894007830798}",25,6,-58.38352053606971,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
60,False,"{'a': 0.975, 'e': 0.21891571657635028}",20,15,9.114181194222878,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.975, 'e': 0.21344282366194153}",25,19,9.95917818531434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.975, 'e': 0.208106753070393}",35,12,41.77460614315328,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.975, 'e': 0.20290408424363318}",35,12,16.939994886571405,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.975, 'e': 0.19783148213754234}",30,19,16.537246278150754,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.975, 'e': 0.19288569508410378}",20,7,-19.335392301868435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.975, 'e': 0.18806355270700117}",20,10,-33.958713676551305,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.975, 'e': 0.18336196388932613}",20,0,26.16364859559854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.975, 'e': 0.17877791479209298}",25,0,22.72436503225493,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.975, 'e': 0.17430846692229066}",20,2,-12.843200468411178,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.975, 'e': 0.1699507552492334}",20,9,8.74648268935946,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.975, 'e': 0.16570198636800254}",30,18,-27.508812926143165,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.975, 'e': 0.16155943670880246}",30,21,15.032471786916577,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.975, 'e': 0.1575204507910824}",20,0,28.440916814633077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.975, 'e': 0.15358243952130535}",25,8,21.49739221837275,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.975, 'e': 0.1497428785332727}",20,8,23.694447654744042,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
