trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-159.8186713176136,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-139.0000405374112,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-170.27547100531217,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-161.4632794924007,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-124.05062620250499,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-67.47079091666123,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-99.97710850760737,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-77.0442022480302,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-52.976889230965845,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-26.62577302911569,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-101.15922936677521,"{0: 24, 1: 6, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-215.02473349260265,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-108.82054111141908,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-94.4332452795314,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-181.11906830239604,"{0: 17, 1: 9, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-155.69060428228272,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-46.31383132904804,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-135.08798050686565,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-160.43762922978547,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-135.4455605414616,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-167.74532426540142,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-115.43450515924995,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,13,-9.654355763561703,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-52.81273166060007,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-68.35826708993157,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,-152.75804262038238,"{0: 19, 1: 7, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-199.84166252594264,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-124.31248628932444,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-61.74439601072138,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-167.15956327094477,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
