trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.925, 'e': 0.925}",25,0,-152.13142542601733,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.925, 'e': 0.8556250000000001}",20,0,-102.2396710849597,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.925, 'e': 0.7914531250000001}",20,0,-61.228682863060605,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.925, 'e': 0.7320941406250001}",25,0,-61.59590511746562,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.925, 'e': 0.6771870800781251}",20,0,-141.51032445749075,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.925, 'e': 0.6263980490722657}",20,0,-76.32900911151934,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.925, 'e': 0.5794181953918458}",20,6,-3.995430054107686,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.925, 'e': 0.5359618307374574}",20,10,3.062891794506954,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.925, 'e': 0.49576469343214813}",25,11,-24.438869538138785,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.925, 'e': 0.45858234142473703}",30,9,-22.467275748536693,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.925, 'e': 0.4241886658178818}",25,16,-14.339794651081819,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.925, 'e': 0.39237451588154065}",20,6,6.589053830462248,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.925, 'e': 0.36294642719042514}",20,4,1.894238548092805,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.925, 'e': 0.3357254451511433}",25,11,-22.93188079808115,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.925, 'e': 0.3105460367648075}",20,0,-72.31242273445974,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.925, 'e': 0.287255084007447}",25,2,-24.184642155496295,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.925, 'e': 0.2657109527068885}",35,19,27.147657953533283,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.925, 'e': 0.24578263125387187}",30,0,-25.160502872059993,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.925, 'e': 0.2273489339098315}",25,0,-10.345831128502397,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
